coverage_note,event_id,occurrence_date,year,disaster_category,disaster_type,event_name,location_district,location_taluk,severity_intensity,deaths,injuries,missing,evacuated_displaced,economic_damage_inr,economic_damage_basis,infrastructure_affected,response_agencies,source_type,source_information,source_url,data_status,recovery_outcome,limitations
2019-2024 inclusive (six calendar years; user-specified period),TN2019-01,2019-03-07,2019,Natural,Drought,Hydrological drought declaration,"24 districts including Chennai, Dharmapuri, Krishnagiri, Salem, Vellore, Tiruchirappalli, Madurai, Erode, Thanjavur, Cuddalore, Ramanathapuram and others","38 blocks in Tirunelveli, Tiruppur, Kanniyakumari, Thoothukudi, Theni, Coimbatore and Nilgiris; district-wide declarations elsewhere",State-declared hydrological drought,0 reported event deaths,0 reported,0 reported,Not applicable/not reported,,Not available,Water resources/reservoir storage and drinking-water systems under stress; crop impacts reported,Tamil Nadu Revenue and Disaster Management Department; district administrations; TWAD/CMWSSB,Verified government gazette; corroborating media,TN Government Extraordinary Gazette G.O.Ms.No.91 (07-03-2019); DT Next,https://www.stationeryprinting.tn.gov.in/extra_ordinary_lists.php?id=MjAxOQ%3D%3D,Confirmed declaration; economic loss not quantified in cited source,Summer water-supply mitigation and drought relief measures were planned; long-term loss figure not consolidated,Drought is a slow-onset hazard; taluk-level human/infrastructure loss and a single INR damage total are not provided in the cited declaration.
2019-2024 inclusive (six calendar years; user-specified period),TN2019-02,2019-11-29/2019-12-02,2019,Natural,Flood/heavy rain,North-East Monsoon heavy rain and flooding,"Multiple; Chennai, Chengalpattu, Kancheepuram, Cuddalore, Tirunelveli and Thoothukudi among affected areas",Multiple; consolidated taluk list not reported in cited state summary,Severe monsoon rainfall; rain-related disaster,25,Not consolidated,Not consolidated,~1000 in relief camps at the reported date,12090000,₹1.209 crore reported to CWC for 2019 flood damage; likely incomplete relative to broader rain losses,2814 houses; 230 cattle; local flooding/inundation,Tamil Nadu district administrations; Police; Fire and Rescue Services; NDRF/SDRF,Government database + media,CWC/PIB flood-damage statement; New Indian Express,https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=1797322&lang=2&reg=48,Deaths/evacuation confirmed by state reporting; economic figure is an official reported total but flagged as potentially incomplete,Relief camps and emergency response; no single consolidated long-term recovery outcome in cited sources,Official CWC table reports a very low aggregate monetary figure and may not capture all sectoral losses.
2019-2024 inclusive (six calendar years; user-specified period),TN2019-03,2019-12-02,2019,Natural/Man-made interaction,Building/wall collapse,Nadur/Mettupalayam compound-wall collapse,Coimbatore,Mettupalayam,Fatal structural collapse during heavy rain,17,Not reported in cited sources,0 confirmed after rescue,Residents of affected houses; exact number not reported,,No reliable event-level estimate located,Compound wall and four houses collapsed/damaged,Tamil Nadu Fire and Rescue Services; Police; Coimbatore district administration; NDRF personnel reported at site,Government parliamentary record + media,"Lok Sabha debate, 06-12-2019; Indian Express/New Indian Express",https://sansad.in/getFile/debatestextmk/17/II/6.12.2019.pdf?source=loksabhadocs,Confirmed deaths/location; damage cost unavailable,District administration ordered demolition of remaining wall and review of similar structures,No standardized event-level economic-loss assessment was found.
2019-2024 inclusive (six calendar years; user-specified period),TN2020-01,2020-05-07,2020,Man-made/Industrial,Industrial boiler explosion,NLC Neyveli TPS-II Unit VI boiler blast,Cuddalore,Virudhachalam,Major industrial accident,0 reported in initial official/media reports,8,0,Workers evacuated from affected unit,,No event-level figure located,Boiler/unit; generation temporarily halted,NLC India Ltd; CISF Fire Wing; Police; hospital services; industrial safety authorities,Company/government-linked official release + media,NLC India press reporting; India Today/NDTV,https://www.indiatoday.in/india/story/boiler-explosion-neyveli-lignite-corporation-cuddalore-tamil-nadu-1675424-2020-05-07,Confirmed 8 injuries; no deaths reported for this May event,Affected generating units shut down until safety checks,Detailed repair cost and final medical outcomes were not found in the cited sources.
2019-2024 inclusive (six calendar years; user-specified period),TN2020-02,2020-07-01,2020,Man-made/Industrial,Industrial boiler explosion/fire,NLC Neyveli TPS-II Unit V boiler blast,Cuddalore,Virudhachalam,Major industrial accident,15,17,0 after rescue,Workers evacuated; exact number not reported,,No event-level property-loss total located,"Boiler supporting structure, lift and cable; generating units temporarily shut for safety audit",NLC India Ltd; CISF Fire Wing; TNPCB; Directorate of Industrial Safety and Health; NGT oversight,Verified official/company + NGT/CPCB report,NLC India press release; NGT/CPCB independent report,https://nsearchives.nseindia.com/corporate/NLCINDIA_01072020212058_PressRelease01.pdf,Confirmed in NGT/CPCB report; 6 died initially and 9 later during treatment,High-level inquiry; safety audit of TPS-II units; recommendations for structural and housekeeping controls,Media initially reported lower death counts; final NGT/CPCB material gives 15 deaths. No consolidated INR damage estimate.
2019-2024 inclusive (six calendar years; user-specified period),TN2020-03,2020-11-25/2020-11-27,2020,Natural,Cyclone and flood,Cyclone Nivar,"Northern/coastal Tamil Nadu including Chennai, Chengalpattu, Kancheepuram, Tiruvallur, Cuddalore, Villupuram and delta areas",Multiple taluks; detailed taluk list not consolidated in cited state memorandum,Very Severe Cyclonic Storm; landfall near Tamil Nadu-Puducherry coast,6,Not consolidated,Not consolidated,~125000 evacuated to 1486 relief camps at peak,37585500000,"₹3,758.55 crore state assistance sought for relief/restoration; this is a damage/assistance estimate, not final realized loss","4398 houses/huts; 60 fishermen boats/nets; crops 0.16 lakh ha; roads, electricity and civic assets damaged",NDRF; SDRF; Tamil Nadu Revenue and Disaster Management; Police; Fire and Rescue; Electricity/Highways/PWD; district administrations,Verified government/IMD/MHA + media,IMD Annual Report 2020; MHA parliamentary answer; Indian Express,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1697644&lang=2&reg=48,Confirmed casualty/damage figures from MHA; monetary figure is state memorandum request,Temporary restoration and additional storm-water drainage investment followed,"The ₹3,758.55 crore is requested assistance, not a final audited loss total."
2019-2024 inclusive (six calendar years; user-specified period),TN2020-04,2020-12-01/2020-12-05,2020,Natural,Cyclone and flood,Cyclone Burevi,"Southern/coastal and delta districts including Ramanathapuram, Thoothukudi, Tirunelveli, Tenkasi, Kanniyakumari, Cuddalore, Nagapattinam, Thanjavur and others",Multiple taluks; detailed consolidated taluk list not reported in cited MHA answer,Cyclonic Storm; second landfall near Pamban; prolonged heavy rain,7,Not consolidated,Not consolidated,Not consolidated in cited source,15140600000,"₹1,514.06 crore central assistance sought by Tamil Nadu; not a final audited loss",5509 houses/huts; 719 cattle; 2.00 lakh ha cropped area; 29 boats/nets,NDRF; SDRF; Revenue and Disaster Management; district administrations; Police; Fire and Rescue; Agriculture/Fisheries/PWD,Verified MHA + media,MHA parliamentary answer; Times of India,https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2021-pdfs/rs-17032021/2432.pdf,Confirmed casualties/damage; monetary figure is state request,Crop insurance and restoration assessments followed,No single verified final economic-loss total was found.
2019-2024 inclusive (six calendar years; user-specified period),TN2021-01,2021-01/2021-02,2021,Natural,Flood/heavy rain,Heavy rain and flood episode assessed by IMCT in February 2021,Tamil Nadu; exact event-level district list not consolidated in cited MHA record,Multiple; not consolidated,Major flood/heavy-rain episode,Not available in cited source,Not available,Not available,Not available,2135100000,₹213.51 crore NDRF assistance approved following IMCT assessment,Flood-related houses/crops/public assets; detailed event table not available in cited source,Tamil Nadu disaster-management machinery; IMCT; NDRF/SDRF,Verified Government of India,MHA 2026 parliamentary answer listing calamity-wise NDRF assistance,https://www.mha.gov.in/MHA1/Par2017/pdfs/par2026-pdfs/RS18032026/2957.pdf,Confirmed assistance; event-level casualties and asset counts not retrieved,NDRF assistance released,Included to preserve an officially recognized 2020-21 flood episode; detailed local data require the underlying IMCT report.
2019-2024 inclusive (six calendar years; user-specified period),TN2021-02,2021-02-12/2021-02-13,2021,Man-made/Industrial,Firecracker factory explosion,Sattur/Achankulam fireworks factory blast,Virudhunagar,Sattur,Major industrial/fireworks accident,19,20+ reported in early reports; later treatment counts varied,0 after rescue operations,Nearby workers/residents; exact number not reported,,No reliable event-level property-loss figure located,Factory rooms/buildings heavily damaged,Tamil Nadu Fire and Rescue Services; Police; district administration; hospitals,Media reports; government relief actions referenced,Indian Express; Times of India,https://indianexpress.com/article/india/tamil-nadu-firecracker-factory-death-7185922/,Confirmed final death toll in cited media; injury count varies by report,Investigation and legal action; compensation announced,Taluk/location is clear; exact injury total and property-loss valuation vary across reports.
2019-2024 inclusive (six calendar years; user-specified period),TN2021-03,2021-05-13,2021,Man-made/Industrial,Boiler/chemical industrial accident,Crimsun Organics boiler blast,Cuddalore,Cuddalore,Major industrial accident,4,15-20 reported depending on source,0,Workers/public temporarily dispersed; exact number not reported,,No event-level estimate located,Boiler/plant area; fire and smoke damage,Tamil Nadu Fire and Rescue Services; Police; Cuddalore district administration; industrial safety authorities; hospitals,Media report citing police/officials,Indian Express; New Indian Express; India Today,https://www.newindianexpress.com/states/tamil-nadu/2021/May/14/four-killed-13-injured-in-boiler-blast-in-cuddalore-district-2302238.html,Deaths confirmed; injury count differs between reports,Compensation announced; industrial safety investigation,"Different reports gave 13, 15 and 20 injured; dataset flags this discrepancy rather than selecting an unsupported number."
